schedule_date,schedule_season,home_id,away_id,score_home,home_avg_yards,home_avg_TO,score_away,away_avg_yards,away_avg_TO,total_score,over_under_line,label
10/8/1989,1989,RAM,ATL,26,381.5882352941177,2.0,14,280.9411764705883,1.7647058823529411,40,44.0,under
10/8/1989,1989,MIA,CLE,13,363.9411764705882,2.3529411764705883,10,309.5294117647058,1.8235294117647056,23,46.5,under
10/8/1989,1989,MIN,DET,24,327.64705882352933,1.8235294117647056,17,232.94117647058826,2.647058823529412,41,42.0,under
10/8/1989,1989,NWE,OTI,23,283.5294117647058,1.8235294117647056,13,341.4705882352941,1.8235294117647056,36,43.5,under
10/8/1989,1989,NOR,SFO,20,319.70588235294116,1.8235294117647056,24,358.8235294117647,1.3529411764705883,44,42.0,over
10/8/1989,1989,PHI,NYG,21,348.7647058823529,2.0588235294117645,19,326.64705882352933,1.8823529411764703,40,44.5,under
10/8/1989,1989,PIT,CIN,16,296.4705882352941,2.176470588235294,26,350.8235294117647,1.4117647058823528,42,44.0,under
10/8/1989,1989,SEA,KAN,16,314.5294117647058,1.9411764705882355,20,304.4117647058824,2.3529411764705883,36,42.0,under
10/8/1989,1989,TAM,CHI,42,312.4705882352941,2.9411764705882355,35,339.4117647058824,2.235294117647059,77,39.0,over
10/8/1989,1989,WAS,CRD,30,370.35294117647067,2.8823529411764706,28,352.7058823529412,2.8235294117647056,58,45.0,over
10/9/1989,1989,NYJ,RAI,7,332.76470588235287,1.9411764705882355,14,319.2352941176472,2.2941176470588243,21,45.0,under
10/15/1989,1989,ATL,NWE,16,276.6470588235294,1.6470588235294117,15,280.1764705882353,1.9411764705882355,31,40.0,under
10/15/1989,1989,CHI,OTI,28,336.29411764705884,2.5294117647058822,33,350.1764705882353,1.9411764705882355,61,44.0,over
10/15/1989,1989,CIN,MIA,13,348.5294117647058,1.1764705882352942,20,365.7647058823529,2.235294117647059,33,45.0,under
10/15/1989,1989,CLE,PIT,7,305.1764705882353,2.0,17,299.29411764705884,2.0,24,40.0,under
10/15/1989,1989,DAL,SFO,14,300.88235294117646,2.7058823529411766,31,365.0,1.3529411764705883,45,43.0,over
10/15/1989,1989,DEN,CLT,14,329.35294117647067,2.0588235294117645,3,310.64705882352933,1.5882352941176472,17,41.0,under
10/15/1989,1989,RAI,KAN,20,309.88235294117646,2.117647058823529,14,299.70588235294116,2.4705882352941178,34,42.0,under
10/15/1989,1989,MIN,GNB,26,332.0,1.6470588235294117,14,331.76470588235287,3.0,40,45.0,under
10/15/1989,1989,NOR,NYJ,29,324.70588235294116,2.0,14,315.64705882352933,1.9411764705882355,43,41.0,over
10/15/1989,1989,NYG,WAS,20,329.11764705882354,1.8823529411764703,17,368.7058823529412,2.8235294117647056,37,45.0,under
10/15/1989,1989,CRD,PHI,5,342.0,3.2352941176470584,17,342.9411764705883,2.2941176470588243,22,46.0,under
